name,min_age,target_habits,target_conditions,diseases
綜合維他命,12,"外食,熬夜","容易疲勞","感冒|流感"
維他命C,0,"壓力大,熬夜","免疫力低下","流感|呼吸道融合病毒|新冠肺炎"
益生菌,0,"外食,喝水少","排便不順,過敏體質","食物中毒|急性腸胃炎|諾羅病毒|過敏性鼻炎|泌尿道感染"
深海魚油,18,"外食,少運動","三高風險","心血管疾病|氣喘"
葡萄糖胺,50,"久站,勞力工作","關節不適","關節炎"
B群,12,"熬夜,壓力大","精神不濟","感冒"
葉黃素,18,"長時間用眼,3C工作","眼睛疲勞","乾眼症"
鈣D3,18,"少曬太陽,少運動","骨骼保養,免疫力低下","骨質疏鬆|感冒"
薑黃素,30,"外食,久坐","發炎體質","發炎反應"
紅麴,40,"外食,少運動","三高風險,血管健康","高血脂|心血管疾病"
輔酶Q10,30,"壓力大,少運動","體能下滑,心血管保養","心血管疾病|高血脂"
膠原蛋白,25,"熬夜,壓力大","皮膚暗沉,皮膚鬆弛","皮膚老化"
蛋白質粉,16,"健身,少運動","肌肉流失,體能不佳","肌肉流失"
鎂補充劑,18,"壓力大,熬夜","睡眠品質不佳,肌肉緊繃","失眠"
消化酵素,0,"外食,暴飲暴食","消化不良,脹氣","消化不良|食物中毒|急性腸胃炎"
膳食纖維粉,12,"外食,少運動","排便不順,腸道保養","食物中毒|急性腸胃炎|諾羅病毒"
靈芝孢子粉,30,"熬夜,壓力大","疲勞,免疫力低下","感冒|流感|新冠肺炎"
蜂膠,12,"外食,熬夜","喉嚨不適,免疫力低下","感冒|呼吸道融合病毒"
鋅補充劑,12,"外食,壓力大","免疫力低下,口腔潰瘍","感冒|流感"
鐵補充劑,18,"外食","疲勞,貧血風險","疲勞"
維他命E,20,"熬夜,壓力大","皮膚乾燥,抗氧化保養","皮膚老化"
黑蒜精,35,"熬夜,壓力大","疲勞,體力下降","感冒|流感"
牛樟芝,30,"熬夜,外食","免疫調節,疲勞","新冠肺炎|流感"
南瓜籽油,35,"久坐,少運動","男性保養,泌尿保養","泌尿道感染"
葡萄籽,20,"熬夜,壓力大","循環保養,抗氧化","心血管疾病"
電解質補充粉,12,"運動量大,外食","脫水疲勞,體能恢復","腹瀉|食物中毒|急性腸胃炎"
乳鐵蛋白,6,"外食,熬夜","免疫力低下,反覆感冒","感冒|流感|呼吸道融合病毒"
褪黑激素,18,"熬夜,壓力大","入睡困難,睡眠品質不佳","失眠"
蝦紅素,20,"長時間用眼,熬夜","眼睛疲勞,抗氧化保養","乾眼症|心血管疾病"
左旋肉鹼,18,"健身,少運動","體脂管理,體能不佳","三高風險|高血脂"
GABA茶胺酸,18,"睡眠不足,熬夜","睡眠品質不佳,容易疲勞","失眠|流感"
洋車前子殼纖維,12,"飲食不規律,外食","消化不良,排便不順","腸病毒|諾羅病毒|腹瀉|急性腸胃炎"
槲皮素,12,"外食,壓力大","過敏體質,免疫力低下","過敏|過敏性鼻炎|流感"
納豆激酶,20,"久坐,少運動","三高風險,體能不佳","心血管|心血管疾病|高血脂"
紫錐花萃取,12,"外食,運動量大","免疫力低下,容易疲勞","登革熱|流感"
